Name_1,TotalCases,ActiveCases,Recovered,Death,Date,Time,NewCases,NoNewCasesSince
Andhra Pradesh,3,3,0,0,2020-03-21,23:11:33,0,0
Chhattisgarh,1,1,0,0,2020-03-21,23:11:33,0,0
Delhi,26,20,5,1,2020-03-21,23:11:33,0,0
Gujarat,7,7,0,0,2020-03-21,23:11:33,0,0
Haryana,17,17,0,0,2020-03-21,23:11:33,0,0
Himachal Pradesh,2,2,0,0,2020-03-21,23:11:33,0,0
Karnataka,15,13,1,1,2020-03-21,23:11:33,0,0
Kerala,40,37,3,0,2020-03-21,23:11:33,0,0
Madhya Pradesh,4,4,0,0,2020-03-21,23:11:33,0,0
Maharashtra,63,62,0,1,2020-03-21,23:11:33,0,0
Odisha,2,2,0,0,2020-03-21,23:11:33,0,0
Puducherry,1,1,0,0,2020-03-21,23:11:33,0,0
Punjab,13,12,0,1,2020-03-21,23:11:33,0,0
Rajasthan,17,14,3,0,2020-03-21,23:11:33,0,0
Tamil Nadu,3,2,1,0,2020-03-21,23:11:33,0,0
Telengana,21,20,1,0,2020-03-21,23:11:33,0,0
Chandigarh,1,1,0,0,2020-03-21,23:11:33,0,0
Jammu and Kashmir,4,4,0,0,2020-03-21,23:11:33,0,0
Ladakh,13,13,0,0,2020-03-21,23:11:33,0,0
Uttar Pradesh,24,15,9,0,2020-03-21,23:11:33,0,0
Uttarakhand,3,3,0,0,2020-03-21,23:11:33,0,0
West Bengal,3,3,0,0,2020-03-21,23:11:33,0,0
Andhra Pradesh,3,3,0,0,2020-03-22,19:23:02,0,1
Chhattisgarh,1,1,0,0,2020-03-22,19:23:02,0,1
Delhi,27,21,5,1,2020-03-22,19:23:02,1,0
Gujarat,14,14,0,0,2020-03-22,19:23:02,7,0
Haryana,17,17,0,0,2020-03-22,19:23:02,0,1
Himachal Pradesh,2,2,0,0,2020-03-22,19:23:02,0,1
Karnataka,20,17,2,1,2020-03-22,19:23:02,5,0
Kerala,52,49,3,0,2020-03-22,19:23:02,12,0
Madhya Pradesh,4,4,0,0,2020-03-22,19:23:02,0,1
Maharashtra,63,61,0,2,2020-03-22,19:23:02,0,1
Odisha,2,2,0,0,2020-03-22,19:23:02,0,1
Puducherry,1,1,0,0,2020-03-22,19:23:02,0,1
